Serving HTTP on 127.0.0.1 port 8000 (http://127.0.0.1:8000/) ...
127.0.0.1 - - [16/Feb/2026 19:53:49] "GET /index.html HTTP/1.1" 200 -
127.0.0.1 - - [16/Feb/2026 19:53:53] "GET /index.html HTTP/1.1" 200 -
127.0.0.1 - - [16/Feb/2026 19:54:04] "GET /index.html HTTP/1.1" 200 -
127.0.0.1 - - [16/Feb/2026 19:54:57] "GET /index.html HTTP/1.1" 200 -
127.0.0.1 - - [16/Feb/2026 19:54:59] "GET /index.html HTTP/1.1" 200 -
127.0.0.1 - - [16/Feb/2026 19:54:59] "GET /index.html HTTP/1.1" 304 -
127.0.0.1 - - [16/Feb/2026 19:55:00] "GET /index.html HTTP/1.1" 200 -
127.0.0.1 - - [16/Feb/2026 19:55:00] "GET /index.html HTTP/1.1" 304 -
127.0.0.1 - - [16/Feb/2026 19:55:02] "GET /index.html HTTP/1.1" 200 -
127.0.0.1 - - [16/Feb/2026 19:55:03] "GET /index.html HTTP/1.1" 304 -
127.0.0.1 - - [16/Feb/2026 19:55:03] "GET /index.html HTTP/1.1" 304 -
127.0.0.1 - - [16/Feb/2026 19:55:03] "GET /index.html HTTP/1.1" 200 -
127.0.0.1 - - [16/Feb/2026 19:55:04] "GET /index.html HTTP/1.1" 304 -
127.0.0.1 - - [16/Feb/2026 19:55:08] "GET /index.html HTTP/1.1" 200 -
127.0.0.1 - - [16/Feb/2026 19:55:09] "GET /index.html HTTP/1.1" 304 -
127.0.0.1 - - [16/Feb/2026 19:55:09] "GET /index.html HTTP/1.1" 200 -
127.0.0.1 - - [16/Feb/2026 19:55:09] "GET /index.html HTTP/1.1" 304 -
127.0.0.1 - - [16/Feb/2026 19:55:11] "GET /index.html HTTP/1.1" 200 -
127.0.0.1 - - [16/Feb/2026 19:55:11] "GET /index.html HTTP/1.1" 304 -
127.0.0.1 - - [16/Feb/2026 19:55:12] "GET /index.html HTTP/1.1" 200 -
127.0.0.1 - - [16/Feb/2026 19:55:12] "GET /index.html HTTP/1.1" 304 -
127.0.0.1 - - [16/Feb/2026 19:55:13] "GET /index.html HTTP/1.1" 200 -
127.0.0.1 - - [16/Feb/2026 19:55:13] "GET /index.html HTTP/1.1" 304 -
127.0.0.1 - - [16/Feb/2026 19:56:31] "GET /index.html HTTP/1.1" 200 -
127.0.0.1 - - [16/Feb/2026 19:58:03] "GET /index.html HTTP/1.1" 200 -
